ICOM1;ICOM2;ICOM3;Total ICOM;IACC1;IACC2;IACC3;IACC4;Total IACC;ICUR1;ICUR2;ICUR3;Total ICUR;ST1;ST2;ST3;ST4;Total ST;SA1;SA2;SA3;Total SA;BC1;BC2;BC3;Total BC;COIN1;COIN2;COIN3;COIN4;Total COIN;PESU1;PESU2;PESU3;PESU4;Total PESU;PUCH1;PUCH2;PUCH3;Total PUCH;RESP1;RESP2;RESP3;Total RESP;MIND1;MIND2;MIND3;MIND4;MIND5;MIND6;Total MIND;SE1;SE2;SE3;SE4;SE5;Total SE
5;5;5;15;6;6;6;6;24;6;6;6;18;6;6;6;6;24;6;6;5;17;3;5;5;13;4;5;4;5;18;6;7;6;6;25;6;6;4;16;4;5;2;11;6;5;6;6;6;6;35;6;6;6;5;6;29
6;6;6;18;6;6;6;5;23;7;7;6;20;7;7;5;6;25;7;7;7;21;6;6;5;17;6;7;6;6;25;7;7;7;7;28;6;6;6;18;6;5;6;17;7;7;6;6;6;5;37;3;6;6;7;7;29
6;6;5;17;4;6;5;5;20;7;5;4;16;5;6;5;7;23;4;4;5;13;6;5;6;17;6;5;5;6;22;7;6;6;5;24;7;6;7;20;5;7;3;15;5;6;5;5;5;6;32;5;4;6;6;7;28
5;4;6;15;2;5;5;5;17;6;5;4;15;6;5;3;4;18;5;4;5;14;4;5;5;14;6;6;5;6;23;4;5;5;7;21;6;7;4;17;5;6;1;12;6;6;7;7;7;7;40;4;4;4;4;5;21
4;5;5;14;3;4;4;6;17;6;6;6;18;6;6;5;5;22;4;5;5;14;4;5;5;14;6;6;6;6;24;5;7;6;6;24;5;5;4;14;6;6;3;15;5;5;7;6;6;6;35;4;4;5;4;5;22
5;4;5;14;5;6;6;6;23;4;6;6;16;6;5;6;6;23;5;6;6;17;5;6;5;16;7;6;6;6;25;5;6;5;6;22;5;5;5;15;1;1;3;5;5;5;5;5;4;5;29;6;6;5;6;6;29
5;5;6;16;7;7;6;6;26;6;6;6;18;7;6;6;6;25;6;5;6;17;6;2;5;13;6;5;6;6;23;6;6;6;6;24;6;6;6;18;6;5;5;16;6;6;6;7;6;5;36;6;6;6;5;5;28
5;6;5;16;3;5;5;5;18;5;5;5;15;6;6;6;7;25;5;6;6;17;5;6;7;18;5;5;6;6;22;5;7;5;6;23;6;6;6;18;6;5;5;16;6;6;6;5;6;6;35;6;5;5;6;5;27
7;7;6;20;6;7;6;7;26;7;7;7;21;7;6;7;7;27;7;6;6;19;6;6;6;18;7;7;7;7;28;7;6;7;6;26;7;7;7;21;6;6;6;18;7;7;7;7;6;6;40;6;7;7;7;7;34
6;7;4;17;5;7;5;7;24;6;7;7;20;6;7;6;4;23;4;5;5;14;3;4;5;12;6;5;6;3;20;6;7;7;6;26;7;6;4;17;2;4;2;8;6;7;5;4;6;7;35;6;6;7;4;7;30
6;6;6;18;5;7;6;6;24;6;6;6;18;6;6;5;6;23;4;3;6;13;6;6;6;18;6;6;5;6;23;6;7;6;6;25;6;6;6;18;6;6;3;15;6;6;6;6;6;6;36;5;6;6;5;6;28
7;5;6;18;5;5;5;4;19;6;7;6;19;7;6;5;5;23;7;6;7;20;7;5;5;17;6;6;6;7;25;5;7;5;7;24;7;7;4;18;5;7;2;14;7;6;7;7;6;6;39;7;7;7;6;6;33
4;4;4;12;4;6;4;4;18;6;5;6;17;5;5;4;4;18;4;6;4;14;5;5;5;15;6;6;6;6;24;4;5;4;7;20;4;4;4;12;4;4;4;12;5;5;7;7;7;7;38;4;4;4;4;4;20
7;6;7;20;5;7;5;7;24;7;7;7;21;6;7;6;7;26;7;7;7;21;7;7;7;21;7;7;7;7;28;7;7;6;7;27;5;7;7;19;6;5;6;17;7;7;7;7;7;7;42;7;6;6;7;7;33
7;7;7;21;7;7;7;7;28;7;7;7;21;7;7;7;7;28;7;7;7;21;7;1;1;9;7;7;7;7;28;7;7;7;7;28;7;7;7;21;1;7;1;9;7;7;7;7;7;7;42;2;1;1;1;7;12
5;4;5;14;5;6;5;4;20;6;6;6;18;6;6;4;4;20;4;4;3;11;4;6;6;16;4;5;5;4;18;4;6;6;5;21;4;4;5;13;3;4;3;10;5;5;5;5;5;5;30;3;4;5;4;5;21
